,name,categories,location.lat,location.lng
105,Louis,Restaurant,48.875105,2.339057
106,Åke,Restaurant,48.871944,2.3668199
107,المطعم اليمني في باريس Yemeni Restaurant In Paris,Restaurant,48.879728,2.335844
108,Elémentaire,Restaurant,48.866703,2.3448706
109,L Artisan De La Truffe,Restaurant,48.87795,2.339546
110,Mieux,Restaurant,48.876655217370754,2.3369550704956055
111,le côte d'azur,Restaurant,48.87004089355469,2.362074136734009
112,Poissonnerie Lorenzo,Restaurant,48.874294,2.342539
113,Chardon,Restaurant,48.87115,2.357953
114,なりたけらーめん,Restaurant,48.866480047150404,2.336391231228373
115,Les restos du coeur,Restaurant,48.87972339212152,2.354660679623297
116,Marrow,Café,48.87442541960633,2.358884811401367
117,L'Ivress Bourse,Wine Bar,48.868721,2.344765
118,Delice De Condorcet,Restaurant,48.879547,2.347954
119,Shine Garden,Restaurant,48.87681617724853,2.3360048227997123
120,Domino's Pizza,Pizza Place,48.87920978367882,2.353740720146334
121,Café du Commerce,Restaurant,48.88462667760873,2.34711621239843
122,Le Dunkerque,Café,48.881737,2.34638
123,Belushi's Gare du Nord,Sports Bar,48.87935489393545,2.358004382344983
124,Les Animals,Bar,48.87697591351928,2.3514966666698456
125,Le Bistrot des Colonnes,Bistro,48.869014821658666,2.3395149442087217
126,Tiffin Box,Restaurant,48.87621067701454,2.345377206802368
127,La Cantine Russe,Restaurant,48.881517,2.364184
128,Aux Petits Tonneaux,Bar,48.86831202350129,2.365857668241767
129,Le Paradis du Fruit,Juice Bar,48.87129336398436,2.3356430509944284
130,EXKi,Sandwich Place,48.87003803191742,2.334405221973618
131,Pollop,Restaurant,48.86649605309285,2.3429134599389445
132,Le Mesturet,Bistro,48.86891181531619,2.3384673412742822
133,PUR etc.,Restaurant,48.86945303141158,2.3452833916668254
134,Wild & The Moon,Restaurant,48.866698,2.331141
135,Inavoué,Restaurant,48.86763468509094,2.3315608259872533
136,La Cantine des Mama's,Restaurant,48.867955,2.347828
137,Nelson’s,Restaurant,48.863695,2.34302
138,Le Passage Saint Honoré,Restaurant,48.867556,2.331517
139,Le Brun,Restaurant,48.861383346238455,2.343236804008484
140,Chez katy,Restaurant,48.862577,2.340535
141,Les Jalles,Restaurant,48.869147451974875,2.3291011183548482
142,Baltard Au Louvre,Restaurant,48.86344080385927,2.3425018787384033
143,Cuistance,Restaurant,48.86203475486889,2.342529161681739
144,Acacia,Restaurant,48.868833,2.337337
145,Tartare,Restaurant,48.867594,2.326638
146,Trois B,Restaurant,48.883855,2.374768
147,Le Passage à Niveau,Restaurant,48.887638,2.384722
148,Subway,Fast Food Restaurant,48.8901493,2.3589868
149,Zen Bar,Restaurant,48.885136008419806,2.37042099237442
150,La Brasserie Moderne,Restaurant,48.87896447040532,2.377995550632477
151,Subway,Sandwich Place,48.88251706070745,2.3707596508307915
152,Subway,Sandwich Place,48.89618368800437,2.3740619549273934
153,Pizza Hut,Pizza Place,48.88097718751328,2.3742356583185256
154,Les Artistes du Faubourg,Restaurant,48.881877,2.3655972070991993
155,L'Olympe Café,Restaurant,48.87933818999999,2.385757
156,Fresh & Fast,Restaurant,48.88647064593749,2.3715724361560655
157,LA CHAUMIERE,Restaurant,48.8813379,2.3730316
158,Restaurant Sodexo Cap18,Restaurant,48.89584214421303,2.367577727545696
159,trema,Restaurant,48.89903346915829,2.3763631972582933
160,Roast Paris,Restaurant,48.88010556294637,2.366657853126526
161,Los Pollos,Restaurant,48.88191903352899,2.371634428810624
162,Bar Restaurant Chez K. Z.,Restaurant,48.893758,2.373584
163,La Marine,Restaurant,48.883885,2.371624
164,Lafayette Cafe,Restaurant,48.88112340944815,2.3621275776633546
165,Gustu,Restaurant,48.883462,2.369575
166,Tintamarre,Restaurant,48.884823,2.3782182
167,Quarter (restaurant and cofee,Restaurant,48.887703780272304,2.388199720342381
168,Cantoch' Orange,Restaurant,48.8798561479791,2.3692291046762985
169,La Forge,Restaurant,48.878423976482054,2.373723484404213
170,Terrasse De La Sybille,Bar,48.877606,2.381334
171,Café Odilon,Restaurant,48.889106,2.381923
172,Le Local Bio,Restaurant,48.8828299637543,2.3648799060361614
173,Quedubon,Restaurant,48.87809233944948,2.384332326627568
174,La Canaille 18,Restaurant,48.890171,2.360786
175,Le Canaille Gourmet,Restaurant,48.884605119228006,2.3641821742057796
176,Jardins De Paula,Restaurant,48.88596711475904,2.3730970751622547
177,กล้วยไม้ป่า,Restaurant,48.877805,2.36393
178,La violette,Restaurant,48.89306492330053,2.3874783728781925
179,Chez Cheng,Restaurant,48.88076,2.369485
180,Le Feu aux Trousses,Restaurant,48.88431034427055,2.3605587135887145
181,Restaurant Zitouna,Restaurant,48.883756,2.373079
182,bout bout resto,Restaurant,48.878351,2.376361
183,Djurdjura,Restaurant,48.88609170913696,2.3688358068466187
184,Le Sapin,Restaurant,48.87606380454972,2.3717466764755537
185,Shiabdeen's,Restaurant,48.883649,2.368023
186,Ahenefie,Restaurant,48.889379,2.35425
187,Le Petit Pelleport,Restaurant,48.884957,2.387198
188,Leefamilys,Restaurant,48.87909089155633,2.3668448467308307
189,Mika Burger,Restaurant,48.885769,2.387116
190,Chochana Café,Restaurant,48.883247,2.370509
191,Les Amateurs,Restaurant,48.886977,2.313758
192,Marcella,Restaurant,48.88122269632194,2.316719736974173
193,Iguana Batignolles,Restaurant,48.88808489827133,2.3115921020507812
194,L'Atelier des Pains,Bakery,48.8774981,2.31466741
195,Sans gêne,Lounge,48.88823024550953,2.3211332179560364
196,La Havane,Smoke Shop,48.88370863459183,2.3277809406462633
197,SUBWAY,Sandwich Place,48.887962834102574,2.3251248242806923
198,Aux Couleurs du Monde,Restaurant,48.888937999026595,2.3163635436887455
199,Pasta Più,Restaurant,48.884993,2.303845
200,Les Francaises,Restaurant,48.887897,2.320575
201,Le Cafe De Raphaelle,Restaurant,48.882418,2.314134
202,Le Faham,Restaurant,48.885513,2.311868
203,Le Tocqueville,Restaurant,48.88233737363563,2.314013692080849
204,Vapiano Batignolles,Restaurant,48.890005,2.312223
205,Les Résidents,Restaurant,48.884439,2.31244
206,Les Balcons,Restaurant,48.88297956673493,2.326416671276092
207,Le Petit Boutary,Restaurant,48.887894,2.3223567
208,Le Bistro du Parc,Restaurant,48.88142,2.307975
209,La Passerelle,Restaurant,48.884758,2.3258054
210,Pétrossian,Restaurant,48.87890539690586,2.3022428988562265
211,Marius Et Lucien,Restaurant,48.889212,2.319213
212,Privé De Dessert,Restaurant,48.888667,2.321825
213,Cuisine de Roxane,Restaurant,48.89145941291542,2.3215526522930743
214,Le Tocqueville,Bar,48.88755265519139,2.3075256283554637
215,Vert Midi,Restaurant,48.88458867,2.312252
216,L'aromatik,Restaurant,48.877215,2.322951
217,La Table de l'Ébéniste,Restaurant,48.886191,2.317664
218,Au Gourmet,Restaurant,48.88299636191355,2.3289055542756003
219,Un Air de Famille,Restaurant,48.88225598976708,2.3160053123954567
220,Le Clan Des Jules,Restaurant,48.888376,2.317023
221,Le Village,Restaurant,48.88256276148564,2.3150823456218395
222,Courcelles Saint-honoré,Restaurant,48.87781551913434,2.304976592478566
223,Homard et Boeuf,Restaurant,48.88211639077415,2.312997579574585
224,Jacques Cagna,Restaurant,48.8816015560394,2.3081204994902556
225,Irène et Bernard,Restaurant,48.89373941206808,2.32217911680039
226,La Compagnie,Restaurant,48.88247058589733,2.3012672830517102
227,L'amuse bouffe,Restaurant,48.881229,2.326774
228,Restaurant D'Entreprise Sony,Restaurant,48.90121096,2.31906681
229,L'Epicurien,Restaurant,48.888678,2.32199
230,Bistro Chez Rose,Restaurant,48.893754230438574,2.3229826224661285
231,Masa,Restaurant,48.882100277461475,2.3134363752168086
232,Mie And You,Restaurant,48.8807297824756,2.304728961713657
233,Mary,Restaurant,48.88594026835275,2.319311499595642
234,Café Le Miami,Restaurant,48.89057435,2.3201380499999997
235,C & Commerce,Restaurant,48.877403259277344,2.3213565349578857
236,Panettone,Restaurant,48.88327790649214,2.320450222994593
237,Le Paris Rome,Bar,48.88232362986096,2.321232500447429
238,Le Hasard Ludique,Cultural Center,48.89568736410062,2.328629493713379
239,Le Paradis du Fruit,Juice Bar,48.88335577536517,2.3265251246376155
240,La Place du Village,Restaurant,48.88332720535227,2.3199546002527436
241,Village Madeleine,Brasserie,48.871752,2.325919
242,Le Mistral,Restaurant,48.874247059504945,2.325617539619344
243,Restaurant D'entreprise Iliad,Restaurant,48.871648,2.320669
244,L'Homme Bleu,Moroccan Restaurant,48.86692230369342,2.374492885271431
245,Les Cuivres,Restaurant,48.86493,2.377641
246,Maison Sota,Restaurant,48.86376547212079,2.379218637943268
247,Paroles de Fromagers,Cheese Shop,48.86933920361957,2.3688237369060516
248,Vantre,Restaurant,48.868455281925904,2.370214462280273
249,Couscous Deli,Restaurant,48.86199856040473,2.3842170323795235
250,Le Paname Art Café,Restaurant,48.868349578078536,2.3698721259105366
251,Le Bichat,Restaurant,48.87039582060517,2.368748152699637
252,L'Esprit Tchaï,Juice Bar,48.86597749519842,2.378532875082587
253,Balls,Restaurant,48.861868,2.380297
254,Domino's Pizza,Pizza Place,48.86794656293707,2.3728535584293695
255,SHAKA Poke,Restaurant,48.86196893,2.34158034
256,Au Plaisir,Restaurant,48.864516,2.340922
257,Le Janissaire,Restaurant,48.856108,2.34924
258,Onze Bar,Restaurant,48.852674,2.345438
259,Le Bachaumont,Restaurant,48.866159397789765,2.344965544842543
260,Les Miscellanées de M. Jash,Food & Drink Shop,48.88013025781349,2.351278066635132
261,La Condesa,Restaurant,48.87855858160726,2.342798262834549
262,Cantine des Cheminots,Restaurant,48.88273946999099,2.355339614152231
263,Flo prestige,Restaurant,48.87712604929209,2.3589425430282653
264,Lo De Lo Lo,Restaurant,48.886468,2.345102
265,Pains A La Ligne,Restaurant,48.876644854829394,2.3594649593539487
266,Paris Istanbul,Restaurant,48.89131,2.3515155
267,La Cantine Monoprix,Restaurant,48.872226,2.343285
268,Oka,Restaurant,48.87912907798239,2.343487372627563
269,Restaurant Hotel Little Palace,Restaurant,48.867386,2.353741
270,1000 & 1 Délices,Restaurant,48.879554,2.343474
271,Hipopotamus Republique,Restaurant,48.86920836191003,2.349192319542544
272,Pardi,Restaurant,48.87679,2.355096
273,Polissons,Restaurant,48.889106,2.346378
274,GOSIER,Restaurant,48.879059,2.343042
275,KFC Paris Barbès,Fast Food Restaurant,48.88718828,2.34985482
276,Chef à la maison - Cours de cuisine prestige,Restaurant,48.87422783779572,2.347276210784912
277,Le Divan,Restaurant,48.872552319671094,2.350216991255233
278,La Table d'Anvers,Restaurant,48.881857,2.345055
279,Al Cantara,Restaurant,48.871108764399516,2.370150089263916
280,Tout Autre Chose,Restaurant,48.878646705704696,2.3427967623070853
281,Restaurant La Paix,Restaurant,48.85707315,2.38006733
282,Miam!,Restaurant,48.852861,2.383084
283,Café Léopard,Bar,48.85539982436347,2.384405223545244
284,Aimé,Restaurant,48.865492,2.384805
285,Les Marquises,Restaurant,48.86672,2.381287
286,Nouveau Carillon,Restaurant,48.855807666975245,2.3910505324602127
287,Jones,Bistro,48.85662364821762,2.380236814846336
288,A La Table D'attila,Restaurant,48.853899,2.381809
289,Le Grand Bain,Restaurant,48.871553545456734,2.378523527906064
290,Cannibale Café,Restaurant,48.86838742454477,2.3794496867544206
291,Moncoeur Belleville,Restaurant,48.87158107595808,2.3860336377560474
292,La Laverie,Café,48.868644,2.389721
293,Le Blason,Restaurant,48.845045913258616,2.434467124210678
294,Les Magnolias,Restaurant,48.83751377222086,2.4443543464620237
295,L’ours,Restaurant,48.847635,2.436623
296,Pizza Hut,Pizza Place,48.8448063,2.4339764
297,Le Bonheur,Restaurant,48.83618375,2.42087912
298,Sunny Bagel,Restaurant,48.84808766,2.44021988
299,Bistrot Mademoiselle,Restaurant,48.84897817011688,2.4231202270026113
300,Absolu,Restaurant,48.845213568549866,2.435765166174378
301,Cuisine de Perle,Restaurant,48.839116,2.419219
302,Regal's,Restaurant,48.848843,2.423253
303,Compass Restaurant Inter-Entreprises Vincennes,Restaurant,48.843333969011276,2.4294145636264726
304,ze cooper,Restaurant,48.84217884275431,2.425976481280189
305,Bocachica,Restaurant,48.84574357946534,2.427966437308692
306,RIE Avenance,Restaurant,48.84299809877284,2.4285559035898934
307,Domino's Pizza Saint-Mandé,Pizza Place,48.845402740384074,2.4275130237299436
308,La Bascule,Restaurant,48.848742,2.431517
309,Les Fées Papilles,Restaurant,48.8460739056433,2.438289212100164
310,kintaro,Restaurant,48.84588995692557,2.423334687911548
311,Le Brazza,Restaurant,48.848274339246395,2.4312592825619803
312,L'Ardoise,Restaurant,48.84693288228403,2.435166835784912
313,Metro N'home,Restaurant,48.84605,2.4202201
314,La Tête à L'Envers,Pub,48.84451036365804,2.440296836839302
315,Vinzen,Restaurant,48.848628997802734,2.43204402923584
316,Le Lakanal,Bar,48.83323725564183,2.3325227200984955
317,Simple,Restaurant,48.847744,2.323245
318,Pizza Hut,Pizza Place,48.8310538321412,2.330490358076304
319,Le Dax,Bar,48.840906946698524,2.316468287496835
320,Stam,Restaurant,48.83476,2.319387
321,Fulgurances L’entrepôt,Restaurant,48.834041,2.31622
322,Marso&Co,Restaurant,48.831493,2.346268
323,Sandwicherie Matisse,Restaurant,48.83010977742702,2.328827875285097
324,Restaurant du Moulin Vert,Restaurant,48.831571935133375,2.3189936578273773
325,Berty,Restaurant,48.8404794152248,2.3461371704223226
326,Jardin Secret,Restaurant,48.834003,2.3169723
327,Auberge du Moulin Vert,Restaurant,48.82986,2.323104
328,Le P'tit Gone,Restaurant,48.834919,2.345018
329,Niébé,Restaurant,48.842063,2.330093
330,Quai 14,Restaurant,48.827443,2.33143
331,Jazz Café Montparnasse,Restaurant,48.838943,2.3208182
332,Marsan By Helene Darroze,Restaurant,48.850098,2.3279207
333,Subway,Sandwich Place,48.84150746751718,2.3175180072680632
334,L'ariel,Café,48.82647730048998,2.341899933529003
335,Oronoya,Restaurant,48.842595,2.348824
336,Angkor monorom,Restaurant,48.83151838368265,2.3242783546293
337,Maison Macaroni,Restaurant,48.832375,2.3151
338,Arpege,Restaurant,48.838002867766704,2.316827115340028
339,O' Wenge,Restaurant,48.838041,2.31884
340,Petit luco,Restaurant,48.841844411987736,2.3373443810930765
341,Marine's Kitchen,Restaurant,48.831520080566406,2.3350160121917725
342,Cantine mairie de Paris,Restaurant,48.836367,2.330969
343,Le Grain De Blé,Restaurant,48.831256,2.341443
344,COOK AND GO,Restaurant,48.83211028726479,2.339416277092941
345,L'Escale Caraïbe,Restaurant,48.844868287879045,2.3339776884438717
346,L'Adada Bar,Bar,48.84053755615983,2.322256565093994
347,Le Bar de Fer,Wine Bar,48.84294010374814,2.3488820067268397
348,Cafétaria du Méridien Étoile,Restaurant,48.87945996423659,2.285258173942566
349,Helen,Restaurant,48.87504416655567,2.3041475255603614
350,Terrasse du Royal Monceau,Restaurant,48.87582160594734,2.3012014923527913
351,La Petite Cantine,Restaurant,48.872314,2.310213
352,le V restaurant & Lounge,Restaurant,48.87444994606879,2.2979207813380826
353,Spok,Restaurant,48.873821,2.303923
354,Au Coin de la Rue,Restaurant,48.89235462189126,2.2911008755936306
355,L'Officiel,Restaurant,48.875097543883314,2.3095764226309257
356,154,Restaurant,48.875094,2.311399
357,Le Lutin,Restaurant,48.879981,2.295095
358,La Flamme,Restaurant,48.87527218995613,2.2964443266391754
359,La Boétie,Restaurant,48.87227398964337,2.3089463290222554
360,La Taverne de la Mairie,Restaurant,48.891511,2.288936
361,Paris XVII,Restaurant,48.88193356649571,2.288804581183253
362,Apérock,Restaurant,48.878756,2.295413
363,Mamy Dinh,Restaurant,48.874427,2.307587
364,Les fougeres,Restaurant,48.8798651743636,2.2941809268658617
365,O'woks,Restaurant,48.890725,2.290201
366,Mie & You,Restaurant,48.881673,2.299807
367,C'est moi qui cuisine,Restaurant,48.890018,2.287602
368,O'liban,Restaurant,48.881459,2.295992
369,L'epicerie Verte,Restaurant,48.87939641475843,2.2965920710643415
370,Boucherie Christophe M,Restaurant,48.884132,2.2936
371,Clos De Courcelles,Restaurant,48.887046,2.295021
372,Restaurant de la Marine Marchande,Restaurant,48.850633,2.307513
373,Sushi Soba,Restaurant,48.84356,2.304855
374,Subway,Sandwich Place,48.844493,2.2940847
375,Pizza Hut,Pizza Place,48.840654,2.3047258
376,Pizza Hut,Pizza Place,48.84728738236631,2.298203176866309
377,Chez Lucie,Restaurant,48.85719142,2.30227309
378,La Maison des Protéines,Restaurant,48.842011,2.302673
379,Leon,Restaurant,48.853715,2.294677
380,Picchetto,Restaurant,48.850574,2.300375
381,Piccehtto,Restaurant,48.850809,2.300487
382,Aux Ducs de Bourgogne,Restaurant,48.85810097401735,2.317845092462093
383,Hôme,Restaurant,48.856681,2.317278
384,Restaurant Le Cinq Codet,Restaurant,48.85494525335787,2.3083957042332393
385,L’asphalte,Restaurant,48.848892,2.298329
386,La Ruche,Restaurant,48.846912,2.294088
387,Le Week-End,Restaurant,48.85013706696413,2.323698503920327
388,Burg'heure & Co,Burger Joint,48.8419,2.29847
389,Gou,Restaurant,48.850061,2.299579
390,Flirt'Thé,Tea Room,48.85203961906169,2.3080369369854195
391,Baby Bac,Restaurant,48.852345,2.323932
